health status index         uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   subscriptions gSqw-JTNR3aULO54okA0ww   1   0          0            0       283b           283b
green  open   books         cpQ0KWazTbOWZ3L1G-8exA 100   0   32423000            0     45.8gb         45.8gb


2019-07-01 20:21:25,499 ActorAddr-(T|:35145)/PID:30848 esrally.utils.repo INFO Rebasing on [master] in [/mnt/tb/teams/default] for distribution version [None].
2019-07-01 20:21:25,653 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.java_resolver INFO Allowed JDK versions are [12, 11].
2019-07-01 20:21:25,712 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.java_resolver INFO Detected JDK with major version [12] in [/usr/lib/jvm/java-12-oracle].
2019-07-01 20:21:25,713 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.supplier INFO Skip fetching sources for Elasticsearch.
2019-07-01 20:21:25,722 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.supplier INFO User-specified revision [current] for [Elasticsearch] results in git revision [fbed035ae31]
2019-07-01 20:21:25,722 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.supplier INFO Running build command [export JAVA_HOME=/usr/lib/jvm/java-12-oracle; cd /mnt/tb/src/elasticsearch; ./gradlew clean >> /mnt/tb/races/2019-07-01-20-21-25/build.log 2>&1]
2019-07-01 20:22:59,64 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.supplier INFO Running build command [export JAVA_HOME=/usr/lib/jvm/java-12-oracle; cd /mnt/tb/src/elasticsearch; ./gradlew :distribution:archives:oss-linux-tar:assemble >> /mnt/tb/races/2019-07-01-20-21-25/build.log 2>&1]
2019-07-01 20:26:02,400 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.provisioner INFO Preparing candidate locally in [/mnt/tb/races/2019-07-01-20-21-25/rally-node-0/install].
2019-07-01 20:26:02,401 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.provisioner INFO Unzipping /mnt/tb/src/elasticsearch/distribution/archives/oss-linux-tar/build/distributions/elasticsearch-oss-8.0.0-SNAPSHOT-linux-x86_64.tar.gz to /mnt/tb/races/2019-07-01-20-21-25/rally-node-0/install
2019-07-01 20:26:05,952 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.provisioner INFO Deleting pre-bundled Elasticsearch configuration at [/mnt/tb/races/2019-07-01-20-21-25/rally-node-0/install/elasticsearch-8.0.0-SNAPSHOT/config]
2019-07-01 20:26:05,953 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.provisioner INFO Reading config template file [/mnt/tb/teams/default/cars/v1/vanilla/templates/config/log4j2.properties] and writing to [/mnt/tb/races/2019-07-01-20-21-25/rally-node-0/install/elasticsearch-8.0.0-SNAPSHOT/config/log4j2.properties].
2019-07-01 20:26:05,959 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.provisioner INFO Reading config template file [/mnt/tb/teams/default/cars/v1/vanilla/templates/config/jvm.options] and writing to [/mnt/tb/races/2019-07-01-20-21-25/rally-node-0/install/elasticsearch-8.0.0-SNAPSHOT/config/jvm.options].
2019-07-01 20:26:05,964 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.provisioner INFO Reading config template file [/mnt/tb/teams/default/cars/v1/vanilla/templates/config/elasticsearch.yml] and writing to [/mnt/tb/races/2019-07-01-20-21-25/rally-node-0/install/elasticsearch-8.0.0-SNAPSHOT/config/elasticsearch.yml].
2019-07-01 20:26:05,970 ActorAddr-(T|:35145)/PID:30848 esrally.utils.process INFO Killing all processes which match [java], [elasticsearch] and [/mnt/tb/races]
2019-07-01 20:26:05,978 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.java_resolver INFO Allowed JDK versions are [12, 11].
2019-07-01 20:26:06,35 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.java_resolver INFO Detected JDK with major version [12] in [/usr/lib/jvm/java-12-oracle].
2019-07-01 20:26:06,36 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO Starting node [rally-node-0] based on car [8gheap].
2019-07-01 20:26:06,80 ActorAddr-(T|:35145)/PID:30848 esrally.utils.process INFO b'java version "12.0.1" 2019-04-16\n'
2019-07-01 20:26:06,80 ActorAddr-(T|:35145)/PID:30848 esrally.utils.process INFO b'Java(TM) SE Runtime Environment (build 12.0.1+12)\n'
2019-07-01 20:26:06,81 ActorAddr-(T|:35145)/PID:30848 esrally.utils.process INFO b'Java HotSpot(TM) 64-Bit Server VM (build 12.0.1+12, mixed mode, sharing)\n'
2019-07-01 20:26:06,84 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO Setting [-XX:+ExitOnOutOfMemoryError] to detect out of memory errors during the benchmark.
2019-07-01 20:26:06,472 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): Java HotSpot(TM) 64-Bit Server VM warning: Option UseConcMarkSweepGC was deprecated in version 9.0 and will likely be removed in a future release.
2019-07-01 20:26:12,187 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:12,181][INFO ][o.e.e.NodeEnvironment    ] [rally-node-0] using [1] data paths, mounts [[/mnt/tb (/dev/nvme0n1)]], net usable_space [90.7gb], net total_space [97.9gb], types [ext4]
2019-07-01 20:26:12,189 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:12,185][INFO ][o.e.e.NodeEnvironment    ] [rally-node-0] heap size [7.9gb], compressed ordinary object pointers [true]
2019-07-01 20:26:12,190 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:12,189][INFO ][o.e.n.Node               ] [rally-node-0] node name [rally-node-0], node ID [koJwdKF-T6K_vNLQqoQpGg]
2019-07-01 20:26:12,191 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:12,190][INFO ][o.e.n.Node               ] [rally-node-0] version[8.0.0-SNAPSHOT], pid[31293], build[oss/tar/fbed035/2019-07-01T20:25:03.857184Z], OS[Linux/4.15.0-1039-aws/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/12.0.1/12.0.1+12]
2019-07-01 20:26:12,191 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:12,191][INFO ][o.e.n.Node               ] [rally-node-0] JVM home [/usr/lib/jvm/java-12-oracle]
