 |   Lap |                               Me
tric |                          Task |      Value |   Unit |
|------:|-------------------------------------:|------------------------------:|-----------:|-------:|
|   All |              50th percentile latency |                  update field |    446.236 |     ms |
|   All |              90th percentile latency |                  update field |     587.95 |     ms |
|   All |              99th percentile latency |                  update field |    1701.28 |     ms |
|   All |            99.9th percentile latency |                  update field |    3225.46 |     ms |
|   All |             100th percentile latency |                  update field |    3982.17 |     ms |
|   All |         50th percentile service time |                  update field |    446.236 |     ms |
|   All |         90th percentile service time |                  update field |     587.95 |     ms |
|   All |         99th percentile service time |                  update field |    1701.28 |     ms |
|   All |       99.9th percentile service time |                  update field |    3225.46 |     ms |
|   All |        100th percentile service time |                  update field |    3982.17 |     ms |
|   All |                           error rate |                  update field |          0 |      % |
