curl '127.0.0.1:39200/_cat/indices?pretty&v'
health status index         uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   books         WUcOZoayRT-tFeEG4K6QMw 100   0   32067490            0     40.8gb         40.8gb
green  open   subscriptions J9OvflFmT1C8MSHpFt2T2g   1   0          0            0       283b           283b

|   Lap |                                                         Metric |                          Task |      Value |   Unit |
|   All |                                                 Max Throughput |         filter by term lookup |       35.5 |  ops/s |
|   All |                                       100th percentile latency |         filter by term lookup |    28.1296 |     ms |
|   All |                                  100th percentile service time |         filter by term lookup |    28.1296 |     ms |
|   All |                                                     error rate |         filter by term lookup |          0 |      % |
|   All |                                                 Min Throughput |            update term lookup |    1019.62 | docs/s |
|   All |                                              Median Throughput |            update term lookup |    1019.62 | docs/s |
|   All |                                                 Max Throughput |            update term lookup |    1019.62 | docs/s |
|   All |                                        50th percentile latency |            update term lookup |   0.857688 |     ms |
|   All |                                        90th percentile latency |            update term lookup |    1.11212 |     ms |
|   All |                                        99th percentile latency |            update term lookup |    1.47476 |     ms |
|   All |                                      99.9th percentile latency |            update term lookup |    3.07412 |     ms |
|   All |                                       100th percentile latency |            update term lookup |    28.6957 |     ms |
|   All |                                   50th percentile service time |            update term lookup |   0.857688 |     ms |
|   All |                                   90th percentile service time |            update term lookup |    1.11212 |     ms |
|   All |                                   99th percentile service time |            update term lookup |    1.47476 |     ms |
|   All |                                 99.9th percentile service time |            update term lookup |    3.07412 |     ms |
|   All |                                  100th percentile service time |            update term lookup |    28.6957 |     ms |
|   All |                                                     error rate |            update term lookup |        100 |      % |
|   All |                                                 Min Throughput |               filter by field |       3.43 |  ops/s |
|   All |                                              Median Throughput |               filter by field |       3.43 |  ops/s |
|   All |                                                 Max Throughput |               filter by field |       3.43 |  ops/s |
|   All |                                       100th percentile latency |               filter by field |    291.151 |     ms |
|   All |                                  100th percentile service time |               filter by field |    291.151 |     ms |
|   All |                                                     error rate |               filter by field |          0 |      % |
|   All |                                                 Min Throughput |                  update field |    21317.8 | docs/s |
|   All |                                              Median Throughput |                  update field |    29229.1 | docs/s |
|   All |                                                 Max Throughput |                  update field |      29499 | docs/s |
|   All |                                        50th percentile latency |                  update field |     5.9659 |     ms |
|   All |                                        90th percentile latency |                  update field |    6.47103 |     ms |
|   All |                                        99th percentile latency |                  update field |    22.8162 |     ms |
|   All |                                      99.9th percentile latency |                  update field |    28.6864 |     ms |
|   All |                                       100th percentile latency |                  update field |    42.0651 |     ms |
|   All |                                   50th percentile service time |                  update field |     5.9659 |     ms |
|   All |                                   90th percentile service time |                  update field |    6.47103 |     ms |
|   All |                                   99th percentile service time |                  update field |    22.8162 |     ms |
|   All |                                 99.9th percentile service time |                  update field |    28.6864 |     ms |
|   All |                                  100th percentile service time |                  update field |    42.0651 |     ms |
|   All |                                                     error rate |                  update field |        100 |      % |
