|   Lap |                                                         Metric |                          Task |       Value |   Unit |
|   All |                                                 Min Throughput |               filter by field |       68.75 |  ops/s |
|   All |                                              Median Throughput |               filter by field |       68.75 |  ops/s |
|   All |                                                 Max Throughput |               filter by field |       68.75 |  ops/s |
|   All |                                       100th percentile latency |               filter by field |     14.5133 |     ms |
|   All |                                  100th percentile service time |               filter by field |     14.5133 |     ms |
|   All |                                                     error rate |               filter by field |           0 |      % |
|   All |                                                 Min Throughput |                  update field |     1208.53 | docs/s |
|   All |                                              Median Throughput |                  update field |     1208.53 | docs/s |
|   All |                                                 Max Throughput |                  update field |     1208.53 | docs/s |
|   All |                                        50th percentile latency |                  update field |     277.867 |     ms |
|   All |                                       100th percentile latency |                  update field |     641.628 |     ms |
|   All |                                   50th percentile service time |                  update field |     277.867 |     ms |
|   All |                                  100th percentile service time |                  update field |     641.628 |     ms |
|   All |                                                     error rate |                  update field |           0 |      % |

